GUN.AZ — ФИНАЛЬНАЯ ТАБЛИЦА ПАРСИНГА | 158 продуктов | 2-3 бренда на ключевые | Средняя цена,,,,,,,,,,,,,,,,,,,,,,,,,,
"Публикуем СРЕДНЮЮ цену по брендам. Бренды — внутренняя кухня. Пользователь видит: «Süd 2.5%, 1L — 2.59₼» без бренда.",,,,,,,,,,,,,,,,,,,,,,,,,,
№,Кат.,Продукт (RU),Məhsul (AZ),Вид,Ед.,П,Бренд 1 (Wolt),Бренд 1 (Wolt) url,Бренд 1 (Bravo),Бренд 1 (Bravo) url,Бренд 1 (Neptun),Бренд 1 (Neptun) url,Бренд 2 (Wolt),Бренд 2 (Wolt) url,Бренд 2 (Bravo),Бренд 2 (Bravo) url,Бренд 2 (Neptun),Бренд 2 (Neptun) url,Бренд 3 (Wolt),Бренд 3 (Wolt) url,Бренд 3 (Bravo),Бренд 3 (Bravo) url,Бренд 3 (Neptun),Бренд 3 (Neptun) url,Источник,Правило замены
1,🥛 Молочные,Молоко,Süd,2.5% пастер.,1 л,🔴,Milla Süd 2.5% 1l,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/milla-sud-2-5-1l-itemid-63976d638d6c90e366944bd2?search=milla%20,Milla Süd 2.5% 1l,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-bulbul-ave/milla-sud-2-5-1l-itemid-20629858952ab961630b3bc4?search=milla,Milla Süd 2.5% 1l,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-28/milla-sud-2-5-1-l-itemid-6c5a4119294630a350d22688?search=milla,Azərsüd Süd 2.4 % 1lt,Azərsüd Süd 2.4 % 1lt | Wolt Market Landmark | Wolt,Azərsüd Süd 2.4% 1l,Azərsüd Süd 2.4% 1l | Bravo Supermarket Bulbul ave. | Wolt,Azər Süd 1lt Süd 2.4% Paket,Azər Süd 1lt Süd 2.4% Paket | Neptun Supermarket 28 May | Wolt,Atena Süd 2.4% 1lt,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/atena-sud-2-4-1lt-itemid-67d18228f5a00f0fb1b13547,"Atena Uht Süd 2.4%
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-city-park-mall/atena-uht-sud-2-4-itemid-9df1e497b82351aa8aa97375?search=sud,Atena Süd 2.4% 1 l,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/atena-sud-2-4-1-l-itemid-4885430808eaab8fce27ac2a?search=atena%20sud,Wolt Market,Если 2.5% нет → 3.2%. Пересчёт не нужен (тот же объём)
2,🥛 Молочные,Кефир,Kefir,2.5%,0.75 л,🔴,Milla Kefir 2.5% 0.75L,не представлен,Milla Kefir 2.5% 0.75L,https://wolt.com/ru/aze/baku/venue/bravo-tahir-97/milla-kefir-750ml-itemid-892a6eb6157e13d5c1028414?search=milla%20kefir,Milla Kefir 2.5% 0.75L,не представлен,Atena Kefir 2% 1L,Atena Kefir 2% 1lt | Wolt Market Landmark | Wolt,Atena Kefir 2% 1L,Atena Kefir 2.0% Yağlı 1l | Bravo Supermarket Bulbul ave. | Wolt,Atena Kefir 2% 1L,не представлен,—,,,,,,Wolt Market,Если 2.5% нет → ближайший % того же бренда
3,🥛 Молочные,Qatıq,Qatıq,Натуральный,500 г,🔴,Atena Qatıq 500q,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/atena-qatiq-1-5-500q-itemid-67d18228f5a00f0fb1b13569?search=atena%20,Atena Qatıq 500q,https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/homogenize-qatiq-atena-1-5-500qr-itemid-4acfdcb4840124fcf182c03d?search=qatiq,Atena Qatıq 500q,не представлен,Milla Qatıq 500q,Milla Qatıq 1.5% 450q | Wolt Market Landmark | Wolt,Milla Qatıq 500q,Milla Qatıq 1.5% 500qr | Bravo Supermarket Bulbul ave. | Wolt,Milla Qatıq 500q,Milla Qatıq 1.5% 500 qr | Neptun Supermarket 28 May | Wolt,—,,,,,,Wolt Market,"Без добавок. Если 500г нет → 900г, делить цену"
4,🥛 Молочные,Айран,Ayran,Классический,1 л,🟡,Atena Ayran 1l,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/atena-ayran-1-4-1l-itemid-62750f995c2ff361236ff0c1?search=atena,Atena Ayran 1l,https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/atena-ayran-1-4-1l-itemid-c91f6a1544e4c505da587f1f?search=atena,Atena Ayran 1l,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/atena-ayran-1-l-itemid-53722fa0987465aae121ea6e?search=ayran,Milla Ayran 1 L,Milla Ayran 1l | Wolt Market Landmark | Wolt,Milla Ayran 1 L,Milla Ayran 1l | Bravo Supermarket Bulbul ave. | Wolt,Milla Ayran 1 L,Milla Ayran 1 l | Neptun Supermarket 28 May | Wolt,—,,,,,,Wolt Market,Пересчёт на 500мл: цена × (500/290)
5,🥛 Молочные,Сметана,Xama,15-25%,175 г,🟡,Milla Xama 20% 175q,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/milla-xama-20-175q-itemid-63976d638d6c90e366944bca?search=xama,Milla Xama 20% 175q,https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/milla-xama-20-175qr-itemid-b97e85a8791ec391a72bf57c?search=milla+xama,Milla Xama 20% 175q,https://wolt.com/ru/aze/baku/venue/market11/milla-xama-20-175-qr-itemid-4ae60ee81f6785497442a23f?search=milla+xama,Dr.Milk Xama Kaunasskaya 20% 200q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/dr-milk-xama-kaunasskaya-20-200q-itemid-679747c0c59beb1eed193ea8?search=xama,Dr.Milk Xama Kaunasskaya 20% 200q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/dr-milk-xama-kaunasskaya-20-200qr-itemid-118c563933ff8c194c2f2718?search=xama,Dr.Milk Xama Kaunasskaya 20% 200q,https://wolt.com/ru/aze/baku/venue/market11/dr-milk-xama-20-kaunasskaya-200-qr-itemid-5b966f9db165b41bd0496e98?search=xama,—,,,,,,Wolt Market,На Wolt есть 25%. Фиксируем как есть
6,🥛 Молочные,Творог,Kəsmk,5%,180 г,🟡,Azərsüd Kəsmik 0.5% 180q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/azersud-kesmik-0-5-180q-itemid-72d3b2982b36dfa332f1dedc?search=%D1%82%D0%B2%D0%BE%D1%80%D0%BE%D0%B3,Azərsüd Kəsmik 0.5% 180q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/azersud-kesmik-0-5-180qr-itemid-77fc8f2f343c6b0520de1487?search=k%C9%99smik,Azərsüd Kəsmik 0.5% 180q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/azersud-kesmik-pehriz-0-5-180-qr-itemid-a97eddd0d910fc6ea65a7d5e?search=k%C9%99smik,Dr.Milk Kəsmik Dietik 0.3% 180q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/dr-milk-kesmik-dietik-0-3-180q-itemid-679747c0c59beb1eed193f36?search=k%C9%99smik,Dr.Milk Kəsmik Dietik 0.3% 180q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-rifah-plaza/dr-milk-kesmik-dietik-0-3-180qr-itemid-d2e6af24972028304f7cb6d1?search=k%C9%99smik,Dr.Milk Kəsmik Dietik 0.3% 180q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/dr-milk-kesmik-0-dietik-180-qr-itemid-13a7192967fbcc7f2090dec7?search=k%C9%99smik,—,,,,,,Wolt Market → Kəsmik,Поручить: раздел Kəsmik в Wolt Market
7,🥛 Молочные,Сыр белый,Pendir ağ,Рассольный,500 г,🔴,Atena Ağ Pendir 500q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/atena-ag-pendir-500q-itemid-67d1818152b48cdf85a25881?search=atena,Atena Ağ Pendir 500q,https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/atena-beyaz-pendir-500qr-itemid-0511cedd6b012886ede31ba4?search=atena,Atena Ağ Pendir 500q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/atena-ag-pendir-500-qr-itemid-c9cc169cc9944c88939f7409?search=atena,Mpro Çanax Pendiri 500q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/mpro-canax-pendiri-500q-itemid-679747c1c59beb1eed194fca?search=pendir+ag,Mpro Çanax Pendiri 500q,https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/goycay-canax-pendiro-500qr-itemid-7409d5f6725105f6a4c3a9e4?search=pendir,Mpro Çanax Pendiri 500q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/goycay-canaq-pendiri-500-qr-itemid-d2d8d0fb14523ad50fa7745c?search=ag+pendir+,—,,,,,,Wolt Market,Чанaq = рассольный. ABAD — гос.бренд фермеров
8,🥛 Молочные,Сулугуни,Suluguni,Сулугуни,250 г,🟡,Azərsüd Saçaq Pendiri 250q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/azersud-sacaq-pendiri-250q-itemid-7e18a245dfab84680a29085d?search=sa%C3%A7aq+pendir,Azərsüd Saçaq Pendiri 250q,https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/azersud-sacaq-pendir-250qr-itemid-a7db544c0fb29032177d74b3?search=sa%C3%A7aq+pendir,Azərsüd Saçaq Pendiri 250q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/azersud-sacaq-pendir-250qr-itemid-1df698953be801d98aa422f3?search=sa%C3%A7a+pendir,—,,,,,,—,,,,,,Wolt Market → Pendir,Поручить: раздел Pendir
9,🥛 Молочные,Сыр твёрдый,Bərk pendir,Голландский,1 кг,🟢,—,,,,,,—,,,,,,—,,,,,,Bravo на Wolt,Поручить: импортные сыры
10,🥛 Молочные,Масло слив.,Kərə yağı,82.5%,1 кг,🔴,Azərsüd Kərə Yagı 83% Yağlılıq 1kg,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/azersud-kere-yagi-83-yagliliq-1kg-itemid-679747c1c59beb1eed195016?search=k%C9%99r%C9%99+,Azərsüd Kərə Yagı 83% Yağlılıq 1kg,https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/azersud-kere-yagi-1kq-itemid-57132260ea623d94bbdd04b5?search=k%C9%99r%C9%99+ya,Azərsüd Kərə Yagı 83% Yağlılıq 1kg,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/azer-sud-kere-yagi-83-1-kq-itemid-389fc3a530533bf7ed377f92?search=k%C9%99r%C9%99+ya,Milla Kərə Yağı 82% Paket 2x500 gr,не представлен,Milla Kərə Yağı 82% Paket 2x500 gr,https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/milla-kere-yagi-itemid-03e694aa866aab79d5a81e34?search=k%C9%99r%C9%99+ya,Milla Kərə Yağı 82% Paket 2x500 gr,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/milla-kere-yagi-82-paket-2x500-gr-itemid-e9cf85a1e6912d8ad5669698?search=k%C9%99r%C9%99+ya,—,,,,,,Wolt Market,"Atena=180г, Milla=200г. Пересчёт на 200г"
11,🥛 Молочные,Сгущёнка,Qatılaşdırılmış süd,С сахаром,370 г,🟢,Qustiyar Ruslada Şəkərli 8.5% Qatılaşdırılmış Süd 370q,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/qustiyar-ruslada-sekerli-8-5-qatilasdirilmis-sud-370q-itemid-e286faf330d384efc12d2b96?search=Qat%C4%B1la%C5%9Fd%C4%B1r%C4%B1lm%C4%B1%C5%9F+s%C3%BCd,Qustiyar Ruslada Şəkərli 8.5% Qatılaşdırılmış Süd 370q,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/russkiy-qost-qatilasdirilmis-sud-370q,Qustiyar Ruslada Şəkərli 8.5% Qatılaşdırılmış Süd 370q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/ruslada-qatilasdirilmis-sud-8-5-370-qr-itemid-bd34582588b6359d84f89519?search=Qat%C4%B1la%C5%9Fd%C4%B1r%C4%B1lm%C4%B1%C5%9F+s%C3%BCd,—,,,,,,—,,,,,,Wolt Market,Поручить
12,🥛 Молочные,Сливки,Qaymaq,26%,200 q,🟢,Azərsüd Qaymaq 200q,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/azersud-qaymaq-200q-itemid-6262498152f6ddc8877e0877?search=qaymaq,Azərsüd Qaymaq 200q,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/azersud-qaymaq-200qr-itemid-182231908d2d3f15162ba915?search=qaymaq,Azərsüd Qaymaq 200q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/azer-sud-qaymaq-26-200-qr-itemid-8afb04d99fcfbbfe5ed8a47f?search=qaymaq,Milla Qaymaq 26% 200q,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/milla-qaymaq-26-200q-itemid-6583ff1fa67f37ebe6b04fc6?search=qaymaq,Milla Qaymaq 26% 200q,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/milla-qaymaq-26-200qr-itemid-5c1aa83679715e0970d5d0c5?search=qaymaq,Milla Qaymaq 26% 200q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/milla-qaymaq-200-qr-itemid-faecd9f049de14e9a71c9e19?search=qaymaq,—,,,,,,Wolt Market,Поручить: Xama və Qaymaq
13,🥛 Молочные,Плавленый сыр,Əriyən pendir,,400 г,🟢,Hochland Pendir 400q,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/hochland-pendir-400q-itemid-627512d829e7ba8316d273b2?search=Hochland,Hochland Pendir 400q,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/hochland-pendiri-fatty-400qr-itemid-35a2a4d5745a5f58e07884d7?search=Hochland,Hochland Pendir 400q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/hochland-400-qr-pendir-qaymaqli-plastik-qabda-itemid-2f8fb1b44e6c92f7b2fca553?search=Hochland,Viola Əridilmiş Pendir 400q,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/viola-eridilmis-pendir-400q-itemid-625e7121de5118ebeeaf4142,Viola Əridilmiş Pendir 400q,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/viola-eridilmis-pendir-400qr-itemid-3590f988906dcc76514db051,Viola Əridilmiş Pendir 400q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-3-mkr/viola-400-qr-eridilmis-pendir-qaymaqli-plastik-qabda-itemid-b513cbf3751c4a52a57265e4?search=viola,—,,,,,,Wolt Market,Поручить
14,🥛 Молочные,Йогурт питьевой,İçməli yoqurt,Фруктовый,270 мл,🟢,Milla Yoqurt İçməli Giləmeyvə 270ml,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/milla-yoqurt-icmeli-gilemeyve-270ml-itemid-63976d638d6c90e366944c03?search=yogurt,Milla Yoqurt İçməli Giləmeyvə 270ml,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/itemid-f881eab4a6d3dadbd6fca690?search=yogurt+milla,Milla Yoqurt İçməli Giləmeyvə 270ml,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-3-mkr/milla-270-ml-icmeli-yoqurt-gilemeyve-plastik-qabda-itemid-f758122bf9d1ec7564cedbda?search=yogurt,Alpenland İçməli Yoqurt Şaftalı-Marakuya 1.2% 290q,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/alpenland-icmeli-yoqurt-saftali-marakuya-1-2-290q-itemid-67d18228f5a00f0fb1b135ad?search=yogurt,Alpenland İçməli Yoqurt Şaftalı-Marakuya 1.2% 290q,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/alpenland-yoqurt-saftali-marakuya-290qr-itemid-43c0513f1ee6c7804eaa990a?search=yogurt,Alpenland İçməli Yoqurt Şaftalı-Marakuya 1.2% 290q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-3-mkr/alpenland-yoqurt-1-2-saftali-marakuya-290-qr-itemid-615858416e4e4ff57d2c57f4?search=yogurt+alpen,—,,,,,,Wolt Market,
15,🍞 Хлеб,Батон белый,Ağ çörək,Нарезной,400 г,🔴,No1 Çörək Zavodu Xüsusi Baton 400q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/no1-corek-zavodu-xususi-baton-400q-itemid-679747c0c59beb1eed193e22?search=%C3%A7%C3%B6r%C9%99k,No1 Çörək Zavodu Xüsusi Baton 400q,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-koroglu/n1-xususi-baton-400qr-itemid-02e57eae51ee2b5fc4883152?search=%C3%A7%C3%B6r%C9%99k,No1 Çörək Zavodu Xüsusi Baton 400q,,Bravo çörək,,,,,,—,,,,,,Wolt Market + Bravo,Хлеб без бренда. Парсим из 2 магазинов → средняя
16,🍞 Хлеб,Лаваш,Lavaş,Тонкий,1 шт,🔴,Wolt Market Lavaş,,,,,,Bravo Lavaş,,,,,,—,,,,,,Wolt Market + Bravo,Без бренда. 2 источника → средняя
17,🍞 Хлеб,Тендир,Təndir çörəyi,Тандырный,1 шт,🟡,товар не представлен,,Face Təndir Çörəyi Orta,https://wolt.com/ru/aze/baku/venue/market11/gence-tendir-kicik-yumru-ag-itemid-8e3203e882e9ac5db44d9c5e?search=t%C9%99ndir,Gəncə Təndir Kiçik Yumru Ağ,https://wolt.com/ru/aze/baku/venue/market11/gence-tendir-kicik-yumru-ag-itemid-8e3203e882e9ac5db44d9c5e?search=t%C9%99ndir,—,,,,,,—,,,,,,Wolt Market,
18,🍞 Хлеб,Ржаной,Qara çörək,Нарезной,400 г,🟢,No1 Çörək Zavodu Borodin Çörəyi 400q,https://wolt.com/ru/aze/baku/venue/wolt-market-yasamal/no1-corek-zavodu-borodin-coreyi-400q-itemid-6426b5cad6ef8edc2b2a2e4b,"N1 Borodin Çörək 400qr
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-azure/n1-borodin-corek-400qr-itemid-bfe215faad78c05406445d32,N1 Zavod 400 qr Borodin Çörəyi,https://wolt.com/ru/aze/baku/venue/market11/n1-zavod-400-qr-borodin-coreyi-itemid-4220cebee69bdfb31ff7b88a,İvanovka Borodino Çovdar Çörəyi 600q,https://wolt.com/ru/aze/baku/venue/wolt-market-yasamal/ivanovka-borodino-covdar-coreyi-600q-itemid-67ab3398a6e65e5d5dcb2562,Ivanovka Borodin Çovdar Çörəyi 600qr,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-azure/ivanovka-borodin-covdar-coreyi-600qr-itemid-aead5d3cc4a64ab8393886cc,Çörək İvanovka 600 qr Borodinskiy,https://wolt.com/ru/aze/baku/venue/market11/corek-ivanovka-600-qr-borodinskiy-itemid-760fcbd0f469fcb9f85d8e8d,—,,,,,,Wolt Market,Поручить
19,🍞 Хлеб,Юха,Yuxa,Для кутабов,1 шт,🟡,Wolt Market Yuxa,,,,,,—,,,,,,—,,,,,,Wolt Market,
20,🍞 Хлеб,Багет,Baget,Французский,1 шт,🟢,Wolt Market Baget,,,,,,—,,,,,,—,,,,,,Wolt Market,
21,🍞 Хлеб,Хлебцы,Qaleta,,100 г,🟢,Xlebtsi Molodsi Çovdarlı 100q,https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/xlebtsi-molodsi-covdarli-100q-itemid-329cd2955b945cd93919fc7d,Xlebtsi Molodsi Çovdarlı 100q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/xlebtsi-molodtsi-covdarli-100qr-itemid-37a7226ef91aa9d95dcbd44f,Xlebtsi Molodsi Çovdarlı 100q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/xlebsi-molodci-covdar-100-qr-itemid-e4151151fe30f3fc57ce2132,Dr. Körner Qarğıdalı və Düyü Karamelli Xlebtsi 90q,https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/dr-korner-qargidali-ve-duyu-karamelli-xlebtsi-90q-itemid-6718448026b216c86553dae8,Dr. Körner Qarğıdalı və Düyü Karamelli Xlebtsi 90q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/drkorner-xlebci-qargidali-ve-duyulu-karamel-90g-itemid-de4842a2c224bd418626d0db,Dr. Körner Qarğıdalı və Düyü Karamelli Xlebtsi 90q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/dr-korner-qargidali-ve-duyu-karamelli-xlebtsi-90q-itemid-5749cbbfa62068a63ec2793f,—,,,,,,Wolt Market,Поручить
22,🌾 Крупы,Рис,Düyü,Длиннозёрный,1 кг,🔴,Sultan Basmati Düyüsü 1kq,https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/sultan-basmati-duyusu-1kq-itemid-2b2fc87fb3d3051b3e5bb1c7,Sultan Basmati Düyüsü 1kq,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/sultan-basmati-duyu-1kq-itemid-5d86a908d72026a7a6a9daec,Sultan Basmati Düyüsü 1kq,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/sultan-basmati-duyu-1-kq-itemid-f0bdf4f995fa1ee75d47b913,"Richmond Uzun Düyü 800q
",https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/richmond-uzun-duyu-800q-itemid-4d71c79fbbe41a3be4a4939f,Richmond Uzun Düyü 800q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/richmond-uzun-duyu-800-g-itemid-83c5d957f9c65dfde653be96,Richmond Uzun Düyü 800q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/richmond-duyu-uzun-800-qr-itemid-3a0f16e6d17abdad4a67672e,—,,,,,,Wolt Market + Bravo,Без бренда. 2 источника → средняя
