GUN.AZ — ФИНАЛЬНАЯ ТАБЛИЦА ПАРСИНГА | 158 продуктов | 2-3 бренда на ключевые | Средняя цена,,,,,,,,,,,,,,,,,,,,,,,,,,
23,🌾 Крупы,Гречка,Qarabaşaq,Ядрица,800 г ,🟡,Richmond Qarabaşaq 800q,https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/richmond-qarabasaq-800q-itemid-0b49ad530bc2bcfc769fdd8b,Richmond Qarabaşaq 800q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/richmond-qarabasaq-800qr-itemid-6e3cdd371f400ae4ac90e426,Richmond Qarabaşaq 800q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/richmond-qarabasaq-800-qr-itemid-dce569d91bcb14031948523c,Ankara Qarabaşaq 800q,https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/ankara-qarabasaq-800q-itemid-d61e37b17959e6e7c397b5e3,Ankara Qarabaşaq 800q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/ankara-qarabashaq-800qr-itemid-8f7c47457b07fb6437c2e135,Ankara Qarabaşaq 800q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/ankara-800-qr-qarabasaq-paket-itemid-f17fc0aa272d000c7225053b,—,,,,,,Wolt Market,
24,🌾 Крупы,Булгур,Bulqur,Крупный,800 г ,🟡,Ankara Bulqur Aş Üçün 800q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/ankara-bulqur-as-ucun-800q-itemid-a0380ed348b8b95516d6d256,Ankara Bulqur Aş Üçün 800q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/ankara-sehriyeli-bulqur-800qr-itemid-d128ac7a2e7142906d6aec05,Ankara Bulqur Aş Üçün 800q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/ankara-800-qr-bulgur-paket-itemid-ac5aaafc8549b9b8560fe432,—,,,,,,—,,,,,,Wolt Market,
25,🌾 Крупы,Овсянка,Yulaf,Геркулес,420 г,🟡,Russkiy Produkt Hercules Ənənəvi Yulaf Lopaları 420q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/russkiy-produkt-hercules-enenevi-yulaf-lopalari-420q-itemid-679747c0c59beb1eed1938fa,Russkiy Produkt Ənənəvi Yulaf Lopaları 420qr Qutu,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/russkiy-produkt-enenevi-yulaf-lopalari-420qr-qutu-itemid-41aad6adecf29ba16ada43c9,Russkiy Produkt Ənənəvi Yulaf Lopaları 420qr Qutu,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/russkiy-produkt-qerkules-enenevi-qutu-420-qr-itemid-c91a0ec92d3c799d1c0d18ee,—,,,,,,—,,,,,,Wolt Market,Поручить: Səhər Yeməyi
26,🌾 Крупы,Манка,Manka,Манная,800 г,🟢,Ankara Manna Yarması 800q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/ankara-manna-yarmasi-800q-itemid-679747c0c59beb1eed19409c,Ankara Manna Yarması 800q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/ankara-manna-yarmasi-800qr-itemid-75adf266f33db06932933d3f,Ankara Manna Yarması 800q,https://wolt.com/ru/aze/baku/venue/market11/ankara-800-qr-manni-paket-itemid-0790c33fa5503b881adb95ad,Tsar Manna Yarması 800q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/tsar-manna-yarmasi-800q-itemid-679747c0c59beb1eed194084,Tsar Manna Yarması 800q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/tsar-manna-800qr-itemid-4ab33afea6ffea84196354a0,Tsar Manna Yarması 800q,https://wolt.com/ru/aze/baku/venue/market11/car-800-qr-manna-yarmasi-paket-itemid-68a08227bd54075b8d7be967,—,,,,,,Wolt Market,Поручить
27,🌾 Крупы,Пшено,Darı,Шлифованное,500 г,🟢,—,,Richmond Buğda Yarmasi 800 G,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/richmond-bugda-yarmasi-800-g-itemid-13827f8772e2419c4fd915e9,Richmond Buğda Yarmasi 800 G,https://wolt.com/ru/aze/baku/venue/market11/richmond-bugda-yarmasi-paket-800-qr-itemid-8f8e407a8022621d540eb44d,—,,,,,,—,,,,,,Wolt Market,Поручить
28,🌾 Крупы,Перловка,Arpa yarması,Перловая,500 г,🟢,—,,,,,,—,,,,,,—,,,,,,Wolt Market,Поручить
29,🌾 Крупы,Мука,Un,Пшеничная в/с,1 кг,🔴,Tsar Un 1kq,https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/tsar-un-1kq-itemid-eee41c820d9b21c297335fc4,Tsar Un 1kq,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/tsar-un-1kg-itemid-866d083deb4c6657f62435c5,Tsar Un 1kq,https://wolt.com/ru/aze/baku/venue/market11/car-1kq-un-itemid-aaa036290943b8bab185635d,Makfa Un 1kq,https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/makfa-un-1kq-itemid-8a900f0235342be8ac6d5acc,Makfa Un 1kq,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/makfa-un-1kq-itemid-a7e8d06bd39f1900fcf43d88,Makfa Un 1kq,https://wolt.com/ru/aze/baku/venue/market11/makfa-un-1-kq-itemid-c3b61803a0b67cd7cafe1334,—,,,,,,Wolt Market + Bravo,Без бренда. 2 источника → средняя
30,🌾 Крупы,Чечевица,Mərci,Красная,800 г,🟡,"Richmond Qırmızı Mərci 800q
",https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/richmond-qirmizi-merci-800q-itemid-1ed1bd28c8bc8aef9a83ba70,"Richmond Qırmızı Mərci 800q
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/richmond-qirmizi-merci-800qr-itemid-2483653f19757d5767c111f1,"Richmond Qırmızı Mərci 800q
",https://wolt.com/ru/aze/baku/venue/market11/richmond-mercimek-qirmizi-800-qr-itemid-5d48a9b5b0aaa72ac7e98e18,"Ankara Qırmızı Mərci 800q
",https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/ankara-qirmizi-merci-800q-itemid-5317f3a273bdadde05dfa6b8,Ankara Qırmızı Mərci 800q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/ankara-qirmizi-merci-800qr-itemid-815074d580484c85c4ab8611,Ankara Qırmızı Mərci 800q,https://wolt.com/ru/aze/baku/venue/market11/ankara-800-qr-merci-qirmizi-paket-itemid-122ba72fe2fd575842abb38e,—,,,,,,Wolt Market,Поручить
31,🌾 Крупы,Фасоль,Lobya,Белая сухая,800 г,🟡,Ankara Ağ Lobya 800q,https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/ankara-ag-lobya-800q-itemid-f9a2ee39108cbaecdd3a6445,Ankara Ağ Lobya 800q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/ankara-800qr-ag-lobya-itemid-c85eccee7111fc34c39d9e98,Ankara Ağ Lobya 800q,https://wolt.com/ru/aze/baku/venue/market11/ankara-800-qr-ag-lobya-paket-itemid-00e27647ceda6c588ff3c157,—,,,,,,—,,,,,,Wolt Market,Поручить
32,🌾 Крупы,Нут,Noxud,Целый,800 г,🔴,Richmond Noxud 800q,https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/richmond-noxud-800q-itemid-f232458daf5fadfc810f969c,Richmond Noxud 800q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/richmond-noxud-800qr-itemid-b9b9889d1d2dd1c99d2612a5,Richmond Noxud 800q,https://wolt.com/ru/aze/baku/venue/market11/richmond-800-qr-noxud-itemid-fa5974d4eb7f9e5d5f8cc485,Ankara Noxud 800q,https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/ankara-noxud-800q-itemid-009d2b9e6d9e6e2727aeb912,Ankara Noxud 800q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/ankara-noxud-800qr-itemid-4e1d3c4b5ae31702f96ed1f3,Ankara Noxud 800q,https://wolt.com/ru/aze/baku/venue/market11/ankara-800-qr-noxud-paket-itemid-74002e2cefcb79058514d149,—,,,,,,Wolt Market,
33,🌾 Крупы,Кукурузная,Qarğıdalı,Кукурузная,800 г,🟢,Ankara Qarğıdalı Popcorn 800q,https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/ankara-qargidali-popcorn-800q-itemid-5ebb324aba0f01917eec3ee8,Ankara Qarğıdalı Popcorn 800q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/ankara-qargidali-popkorn-800qr-itemid-148de62c6d880e17a24c1c07,Ankara Qarğıdalı Popcorn 800q,https://wolt.com/ru/aze/baku/venue/market11/ankara-800-qr-qargidali-paket-itemid-71dcb417fd17ec1abd586c0d,—,,,,,,—,,,,,,Wolt Market,Поручить
34,🌾 Крупы,Рис басмати,Düyü basmati,Импорт,1 кг,🟢,—,,,,,,—,,,,,,—,,,,,,Wolt Market,Поручить
35,🍝 Макароны,Спагетти,Spagetti,500г,500 г,🟡,Ankara Vitaminli Spagetti 500q,https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/ankara-vitaminli-spagetti-500q-itemid-5c57b51e14de614fe4a1a02a,Ankara Vitaminli Spagetti 500q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/ankara-spaghetti-500qr-itemid-c71ced09f11510ba8fe37b47,Ankara Vitaminli Spagetti 500q,https://wolt.com/ru/aze/baku/venue/market11/ankara-ince-spagetti-500-qr-itemid-4e705bf1f1d05f4650957497,"Saville Makaron Spagetti 500q
",https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/saville-makaron-spagetti-500q-itemid-f1be456f7b2424dba0131d2a,"Saville Makaron Spagetti 500q
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/saville-makaron-spagetti-500qr-itemid-f4b2cb3f9301adcc71988638,"Saville Makaron Spagetti 500q
",https://wolt.com/ru/aze/baku/venue/market11/saville-spaqetti-500-qr-itemid-65d81fa898a81d24d90e8ec6,—,,,,,,Wolt Market,Barilla = стабильный бенчмарк
36,🍝 Макароны,Макароны,Penne,Рожки,500 г,🟢,"Ankara Qələm Makaron 500q
",https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/ankara-qelem-makaron-500q-itemid-599587600453808f9ffd1aa1,Ankara Qələm Makaron 500q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-genclik/ankara-makaron-qelem-500qr-itemid-19ce786c93d3a0da8194f6b5,Ankara Qələm Makaron 500q,https://wolt.com/ru/aze/baku/venue/market11/ankara-makaron-500-qr-itemid-e1ae9dfe1a5de4106217263c,"Saville Makaron Qələm Kəsmə 500q
",https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/saville-makaron-qelem-kesme-500q-itemid-f966ceaddb578e0b1001ebb0,"Saville Makaron Qələm Kəsmə 500q
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-genclik/saville-makaron-qelem-kesme-500qr-itemid-380db09dec6c55059df53ab3,"Saville Makaron Qələm Kəsmə 500q
",https://wolt.com/ru/aze/baku/venue/market11/saville-makaron-qelem-kesme-500-qr-itemid-e56c00d0570345404268dcc9,—,,,,,,Wolt Market,
37,🍝 Макароны,Вермишель,Şehriyyə,Тонкая,500 г,🟡,"Ankara Tel Əriştə 500q
",https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/ankara-tel-eriste-500q-itemid-43a5b50cfbfa730f0bb12958,Ankara Tel Əriştə 500q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-genclik/ankara-makaron-tel-sehriye-500qr-itemid-ffecc6ff12de87d31eebb4b6,Ankara Tel Əriştə 500q,https://wolt.com/ru/aze/baku/venue/market11/ankara-makaron-tel-500-qr-itemid-5347a5027d03665722b6a9b1,Saville Tel Şehriyye 500q,https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/saville-tel-sehriyye-500q-itemid-a765e7b85a27530ff28821ef,Saville Tel Şehriyye 500q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-genclik/saville-tel-sehriye-500q-itemid-78977931b8dd4b712ba3e536,Saville Vermişel 500 qr,https://wolt.com/ru/aze/baku/venue/market11/saville-vermisel-500-qr-itemid-893807157729d3d9943c099f,—,,,,,,Wolt Market,Поручить: местные бренды
38,🥩 Мясо,Куриное филе,Toyuq filesi,Грудка, 1 кг,🔴,"Mərcan Təzə Toyuq Filesi, ~583 g",https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/mercan-teze-toyuq-filesi-583-g-itemid-e0c47d4fd65e8af22c88f14b,Mərcan Soyulmuş Toyuq Filesi Qabda 5182,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/mercan-soyulmus-toyuq-filesi-qabda-5182-itemid-64e38734b0ffeea5f3f499ea,Mərcan Toyuq File Soyudulmuş kg,https://wolt.com/ru/aze/baku/venue/market11/mercan-toyuq-file-soyudulmus-kg-itemid-8e74e6cc48712096d556eef2,Bravo (по весу),,,,,,Araz (по весу),,,,,,3 магазина → средняя,Мясо без бренда. ОБЯЗАТЕЛЬНО 2-3 источника
39,🥩 Мясо,Курица целая,Toyuq bütöv,Охлаждённая,1.25 кг,🟡,"Mərcan Təzə Bütöv Toyuq, ~1250 g
",https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/mercan-teze-butov-toyuq-1250-g-itemid-b34b787073dae1a587897424,"Mərcan Donmuş Toyuq Qabda 1kq 3616
",https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/mercan-donmus-toyuq-qabda-1kq-3616-itemid-5231c600842bb65bd0972f52,Mərcan Toyuq Paket kq,https://wolt.com/ru/aze/baku/venue/market11/mercan-toyuq-paket-kq-itemid-64c503e62faa5b487a776454,Bravo (по весу),,,,,,—,,,,,,2 магазина → средняя,
40,🥩 Мясо,Куриные бёдра,Toyuq budu,Бёдра,483 г,🟡,"Mərcan Təzə Toyuq Budu, ~483 g",https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/mercan-teze-toyuq-budu-483-g-itemid-5c3ec62a61a6b17aa61d02d5,Mercan Təzə Toyuq Bud Qabda kq,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/mercan-teze-toyuq-bud-qabda-kq-itemid-257ca1603227ea08fdb84250,Mərcan Toyuq Bud Butulka kq,https://wolt.com/ru/aze/baku/venue/market11/mercan-toyuq-bud-butulka-kq-itemid-cf3c42b428c73a40dda3c5f2,Bravo (по весу),,,,,,—,,,,,,2 магазина → средняя,
41,🥩 Мясо,Куриные крылья,Toyuq qanadı,Крылья,440 г,🟢,"Mərcan Təzə Toyuq Qanadı, ~440 g",https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/mercan-teze-toyuq-qanadi-440-g-itemid-6825e210f5cf665aee8200eb,Mərcan Donmuş Toyuq Qanadi Qab 1kq 3624,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/mercan-donmus-toyuq-qanadi-qab-1kq-3624-itemid-728fb4a4663b437059b2ca02,Mərcan Toyuq Qanad kq,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-28/mercan-toyuq-qanad-kq-itemid-74d8ad48e87b57b3695c4cef,—,,,,,,—,,,,,,Wolt Market,
42,🥩 Мясо,Говядина,Mal əti,Мясо,1 кг,🔴,,,,,"
",,Bravo (по весу),,,,,,Araz (по весу),,,,,,3 магазина → средняя,Мясо без бренда. ОБЯЗАТЕЛЬНО 2-3 источника
43,🥩 Мясо,Говяжий фарш,Qiymə mal,Фарш,1 кг,🟡,Wolt Market (по весу),,"Mal Ətinden Qiymə kq 2999
",https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/mal-etinden-qiyme-kq-2999-itemid-09d9e200de19daf1d2c54a53,Ət Dana Farş kq,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-28/et-dana-fars-kq-itemid-3b892452a092ded71c0755ad,Bravo (по весу),,,,,,—,,,,,,2 магазина → средняя,
44,🥩 Мясо,Баранина,Qoyun əti,Лопатка/нога,1 кг,🔴,Wolt Market (по весу),,,,,,Bravo (по весу),,,,,,Araz (по весу),,,,,,3 магазина → средняя,Мясо без бренда. ОБЯЗАТЕЛЬНО 2-3 источника
45,🥩 Мясо,Телятина,Dana əti,Лопатка,1 кг,🟡,Wolt Market (по весу),,Dana Bel Əti Sümüksüz 873,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/dana-bel-eti-sumuksuz-873-itemid-5058dc2bfbc5d9c00f8574e8,Ət Dana Bel Əti Sümüksüz kq,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-28/et-dana-bel-eti-sumuksuz-kq-itemid-88daac54c0ddaedf3f405e87,Bravo (по весу),,,,,,—,,,,,,2 магазина → средняя,
46,🥩 Мясо,Индейка,Hinduşka filesi,Филе,1 кг,🟡,—,,,,,,—,,,,,,—,,,,,,Поручить,Может не быть в Wolt Market
47,🥩 Мясо,Печень,Mal ciyəri,Говяжья,1 кг,🟡,Wolt Market (по весу),,Dana Ciyər kq,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/dana-ciyer-kq-itemid-8c1594fb72e0bbc867cff5e9,,,—,,,,,,—,,,,,,Wolt Market,
48,🥩 Мясо,Баранья корейка,Qoyun pirzolası,Рёбрышки,1 кг,🟢,—,,,,,,—,,,,,,—,,,,,,Поручить,
49,🥩 Мясо,Курдюк,Quyruq yağı,Курдючный жир,1 кг,🟡,—,,,,,,—,,,,,,—,,,,,,Поручить,
50,🥩 Мясо,Фарш бараний,Qiymə qoyun,Бараний,1 кг,🟢,—,,,,,,—,,,,,,—,,,,,,Поручить,
51,🐟 Рыба,Форель,Forel,Целая охлажд.,1 кг,🟡,Wolt Market Forel,,,,,,Bravo Forel,,,,,,—,,,,,,2 магазина → средняя,По весу
52,🐟 Рыба,Сёмга,Qızıl balıq,Стейк,1 кг,🟢,—,,,,,,—,,,,,,—,,,,,,Поручить,"Импорт, может не быть"
53,🐟 Рыба,Осётр,Nərə balığı,Каспийский,1 кг,🟡,—,,,,,,—,,,,,,—,,,,,,Поручить,"Местная, сезонно"
54,🐟 Рыба,Креветки,Krevet,Заморож.,1 кг,🟢,Vici Kral Kreveti 1kq,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/vici-kral-kreveti-1kq-itemid-665ee0e869d96fa14d8e0c00,Vici Kral Krevet Başli (30/40) 1 Kq,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/vici-kral-krevet-basli-30-40-1-kq-itemid-2c439a08b7ed1f6df5b986c0,Vici Krevetka Başlı Korolevskie 30/40 1kg,https://wolt.com/ru/aze/baku/venue/market11/vici-krevetka-basli-korolevskie-30-40-1kg-itemid-8a92f3e0c9c1ad86d89d25d2,—,,,,,,—,,,,,,Поручить,Donmuş Qida раздел
55,🐟 Рыба,Тунец конс.,Tuna konserv,В с/с,150 г,🟡,Dardanel Zeytun Yağında Tuna 150q,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/dardanel-zeytun-yaginda-tuna-150q-itemid-660d9bbd90571e332df568bd,Dardanel Zeytunlu Ton Balığı 160qr,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-rifah-plaza/dardanel-zeytunlu-ton-baligi-160qr-itemid-92f2684bd070eb69625ea8d0,Dardanel Zeytun Yağında Tuna 150q,https://wolt.com/ru/aze/baku/venue/market11/dardanel-zeytun-yaginda-tuna-150q-itemid-29a5a117152f43d620faee53,—,,,,,,—,,,,,,Поручить,Konserv раздел
56,🐟 Рыба,Кутум,Kütüm,Каспийский,1 кг,🟢,—,,,,,,—,,,,,,—,,,,,,Поручить,Сезонно
57,🥚 Яйца,Яйца куриные,Yumurta,С1 крупные,10 шт,🔴,Yumurtaşka Ağ Yumurta (10 ədədli),https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/yumurtaska-ag-yumurta-10-ededli-itemid-65b8c9487297cfe5b73a379e,"Milvana Ağ Yumurta 10əd.
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-bulbul-ave/milvana-ag-yumurta-10ed-itemid-010fa37912ef77fb5546daa2,"Yumurtaska Ağ Yumurta 10-lu Qutu
",https://wolt.com/ru/aze/baku/venue/market11/yumurtaska-ag-yumurta-10-lu-qutu-itemid-8fc5e20d49f8334841d4c791,Bravo Yumurta 10əd,,,,,,Araz Yumurta 10əd,,,,,,3 магазина → средняя,Без бренда. 3 источника обязательно
58,🥚 Яйца,Перепелиные,Bildirçin yumurtası,,12 шт,🟢,Yumurtaşka Bildirçin Yumurtası (12 ədədli),https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/yumurtaska-bildircin-yumurtasi-12-ededli-itemid-68066b15d8c0c482cf5043d2,Fazan Bildirçin Yumurtası 12 əd.,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/fazan-bildircin-yumurtasi-12-ed-itemid-0b671285f8ab0f56ba11bf6b,Yumurtaşka Bildirçin Yumurtası (12 ədədli),https://wolt.com/ru/aze/baku/venue/neptun-8-mkr/yumurtaska-bildircin-yumurtasi-12-ededli-itemid-7df3b5268c1f14a9cae1018b,—,,,,,,—,,,,,,Поручить,
