GUN.AZ — ФИНАЛЬНАЯ ТАБЛИЦА ПАРСИНГА | 158 продуктов | 2-3 бренда на ключевые | Средняя цена,,,,,,,,,,,,,,,,,,,,,,,,,,
128,🥫 Консервы,Маслины,Zeytun qara,Чёрные б/к,370 г,🟡,Absheron Olive Garden Zeytun Qara Tumlu Duzlu Su 370q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/absheron-olive-garden-zeytun-qara-tumlu-duzlu-su-370q-itemid-679747c0c59beb1eed194120,Absheron Tumsuz Qara Zeytun 370qr,https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/absheron-tumsuz-qara-zeytun-370qr-itemid-2a6fd1f0725cb4dcf9c4f368,Olive Gardens Qara Zeytun Tumusuz S/Q 370qr,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-28/olive-gardens-qara-zeytun-tumusuz-s-q-370qr-itemid-3b775f5a58abc0eba3f82607,—,,,,,,—,,,,,,Поручить,
129,🥫 Консервы,Горошек конс.,Noxud konserv,Зелёный,700 г,🟢,"Bostan Yaşıl Noxud 700q

",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/bostan-yasil-noxud-700q-itemid-679747c0c59beb1eed19416a,"Bostan Yaşıl Noxud 700qr
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/bostan-yasil-noxud-700qr-itemid-382eb854f1e8a6d7ed70adf8,Bostan Yaşıl Noxud Konservi 700 qr,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-28/bostan-yasil-noxud-konservi-700-qr-itemid-4dcccd67f232e912d3f22991,"Bizim Tarla Yaşıl Noxud 660q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/bizim-tarla-yasil-noxud-660q-itemid-679747c0c59beb1eed194166,"Bizim Tarla Yaşıl Noxud 660qr
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/bizim-tarla-yasil-noxud-660qr-itemid-96f2d881a4d577fe385dceaf,Bizim Tarla Yaşıl Noxud Konservi 680 qr,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-28/bizim-tarla-yasil-noxud-konservi-680-qr-itemid-9d1aaf4f4ae1660eba671082,—,,,,,,Поручить,
130,🥫 Консервы,Кукуруза конс.,Qarğıdalı konserv,Сладкая,340 г,🟢,"Final Qarğıdalı Dənələri 340q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/final-qargidali-deneleri-340q-itemid-68a86ee853efb308c261b7d7,"Final Qarğıdalı Dənələri 340gr
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/final-qargidali-deneleri-340gr-itemid-b568f3b60dde9b49a2110940,Final 340q Şirin Qarğıdalı (Dəmir Qabda),https://wolt.com/ru/aze/baku/venue/neptun-supermarket-28/final-340q-sirin-qargidali-demir-qabda-itemid-f1666fc9ae07af697ba3f9cc,"Bonduelle Şirin Qarğıdalı 340q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/bonduelle-sirin-qargidali-340q-itemid-679747c0c59beb1eed19418a,"Bonduelle Kukuruz Sirin 340qr Tnk
",https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/bonduelle-kukuruz-sirin-340qr-tnk-itemid-a624ab93bb066379dbb126ce,,,—,,,,,,Поручить,
131,🥫 Консервы,Наршараб,Nar şərabi,Гранатовый,345 мл,🟡,"Bizim Tarla Narşərab 345q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/bizim-tarla-narserab-345q-itemid-ed513270fcf7ec1cb36d292f,"Bizim Tarla Narşərab 345qr
",https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/bizim-tarla-narserab-345qr-itemid-ca31cf90b2155974a9054471,"Bizim Tarla Narşərab 345qr
",https://wolt.com/ru/aze/baku/venue/neptun-supermarket-khirdalan/bizim-tarla-narserab-345qr-itemid-0348259e454dfb21318bbb8a,—,,,,,,—,,,,,,Поручить,ABAD или Souslar
132,🧊 Заморозка,Дюшбара,Düşbərə,Замороженная,400 г,🟡,"ABAD Evsayağı Düşbərə 400q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/abad-evsayagi-dusbere-400q-itemid-687a0c2b331879873bd2e7b8,"Abad Ev Sayağı Düşbərə 400qr
",https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-koroglu/abad-ev-sayagi-dusbere-400qr-itemid-d99c6bb762c6f7337abeef50,,,—,,,,,,—,,,,,,Поручить,Donmuş Qida раздел
133,🧊 Заморозка,Овощная смесь,Dondurulmuş tərəvəz,Гавайская,400 г,🟢,—,,,,,,—,,,,,,—,,,,,,Поручить,
134,🧊 Заморозка,Мороженое,Dondurma,Пломбир,500 мл,🟡,Delisimo Şokoladlı Plombir 500ml,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/delisimo-sokoladli-plombir-500ml-itemid-679747c0c59beb1eed19389,"Delisimo Plombir Şokolad
",https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-koroglu/delisimo-plombir-sokolad-itemid-35b2f87d34db4e8b4fd6387e,,,—,,Bakinskiy Plombirir Celato Plombirir 500qr,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-koroglu/bakinskiy-plombirir-celato-plombirir-500qr-itemid-9c68f33e5d78d39e03c78d5e,Dondurma Iceland 500 qr Plombir Vanilli 15%,https://wolt.com/ru/aze/baku/venue/market11/dondurma-iceland-500-qr-plombir-vanilli-15-itemid-4d5d23fa806a022840776b9d,—,,,,,,Поручить,Dondurma раздел
135,🧊 Заморозка,Тесто слоёное,Xəmir,Замороженное,500 г,🟢,Superfresh Milfoy Donmuş Xəmir 500q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/superfresh-milfoy-donmus-xemir-500q-itemid-679747c1c59beb1eed194e2c,"Superfresh Mille-feuille 500qr
",https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-koroglu/superfresh-mille-feuille-500qr-itemid-7503fa28215daa849e2ff865,Super Fresh 500 qr Milfey Xəmiri Paket,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/super-fresh-500-qr-milfey-xemiri-paket-itemid-bc88597573c00b81707478e4,—,,,,,,—,,,,,,Поручить,
136,🍖 Колбасы,Сосиски,Sosiska,Молочные,450 г,🟡,"Sevimli Dad""Moloçnıye""Sosis 450q",https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/sevimli-dad-molocniye-sosis-450q-itemid-62bc54cc42113be306e7a3a9,Sevimli Dad Sosis Molocniy Qab 558,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/sevimli-dad-sosis-molocniy-qab-558-itemid-9d7428e12c343c28d927db76,"Sosiska Sevimli Dad Südlü kq
",https://wolt.com/ru/aze/baku/venue/market11/sosiska-sevimli-dad-sudlu-kq-itemid-7953d70abc4d5fd46f91677d,"Çerkizovo Südlü Sosiska 450q
",https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/cerkizovo-sudlu-sosiska-450q-itemid-665ee0e869d96fa14d8e0abe,"Cerk Sos Molocnie Lotok 450 Qr
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/cerk-sos-molocnie-lotok-450-qr-itemid-3593f341fcdc75823973b2cf,"Çerkizovo Sosiski Molocniye Po-Çerkizovski 450 qr
",https://wolt.com/ru/aze/baku/venue/market11/cerkizovo-sosiski-molocniye-po-cerkizovski-450-qr-itemid-0bd99bf5f4a78513b219e94e,—,,,,,,Поручить,"Sosis, Kolbasa раздел"
137,🍖 Колбасы,Колбаса варёная,Kolbasa,Докторская,420 г,🟡,SAB Doktorskaya Kolbasası 420q,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/sab-doktorskaya-kolbasasi-420q-itemid-687e1497648a713e9224b572,Sab Doktorskaya Bişmiş Kolbasa 1kq 1821,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/sab-doktorskaya-bismis-kolbasa-1kq-1821-itemid-95a7d24386324a3eb315b101,"Kolbasa Sab Doktorskaya kq
",https://wolt.com/ru/aze/baku/venue/market11/kolbasa-sab-doktorskaya-kq-itemid-4dce565348de18e9616cf47e,—,,,,,,—,,,,,,Поручить,
138,🍖 Колбасы,Колбаса копч.,Kolbasa hisə,Сервелат,600 г,🟢,"Sevimli Dad""Zernistaya""Servelat 600q
",https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/sevimli-dad-zernistaya-servelat-600q-itemid-62bc54cc42113be306e7a3a7,Sevimli Dad Zernistaya Servelat 1kq 597,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/sevimli-dad-zernistaya-servelat-1kq-597-itemid-c56bd6b3620166b73d005033,Kolbasa Sevimli Dad Zernistaya kq,https://wolt.com/ru/aze/baku/venue/market11/kolbasa-sevimli-dad-zernistaya-kq-itemid-b75e451f9cf7b04c1b69db2f,—,,,,,,—,,,,,,Поручить,
139,🍖 Колбасы,Суджук,Sucuq,Сыровяленая,225 г,🟡,"Pınar Klassiq Sucuk 225q
",https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/pinar-klassiq-sucuk-225q-itemid-6602ecd4a9267230eff64553,Pinar Sucuk Klasik Kangal Kolbasa 225qr,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/pinar-sucuk-klasik-kangal-kolbasa-225qr-itemid-dd97e0ab95123c999e640268,Pınar 225 qr Klassik Fermente Sucuk,https://wolt.com/ru/aze/baku/venue/market11/pinar-225-qr-klassik-fermente-sucuk-itemid-353f1634817e5cfad397fdbf,—,,,,,,—,,,,,,Поручить,
140,🍬 Сладости,Шоколад,Şokolad,Молочный 100г,80 г,🟡,"Milka Südlü Şokolad 80q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/milka-sudlu-sokolad-80q-itemid-679746c26076986de641d70e,"Milka Südlü Şokolad 90qr
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/milka-sudlu-sokolad-90qr-itemid-1b68610abf8a8b874cb996f0,Milka Şokolad Südlü Plitka 90 qr,https://wolt.com/ru/aze/baku/venue/market11/milka-sokolad-sudlu-plitka-90-qr-itemid-d131dee7131cef78223a7887,"Alpen Gold Şüdlü Şokolad 80q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/alpen-gold-sudlu-sokolad-80q-itemid-679747c0c59beb1eed1946ae,"Alpen Gold Südlü Şokolad 85qr
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/alpen-gold-sudlu-sokolad-85qr-itemid-b55acbeafd7b3f0367853b4b,Alpen Gold Şokolad Südlü Plitka 90 qr,https://wolt.com/ru/aze/baku/venue/market11/alpen-gold-sokolad-sudlu-plitka-90-qr-itemid-38b2d232946ca4982ae45824,—,,,,,,Wolt Market,Şirniyyatlar раздел
141,🍬 Сладости,Халва,Halva,Подсолнечная,350 г,🟢,—,,"Azovskaya Orijinal Günəbaxan Halvası 350qr
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/azovskaya-orijinal-gunebaxan-halvasi-350qr-itemid-534816ba50319b73aacca3fd,Azovskaya 350 qr Halva Günəbaxan,https://wolt.com/ru/aze/baku/venue/market11/azovskaya-350-qr-halva-gunebaxan-itemid-ba0c20f77b02267711ffcc64,—,,,,,,—,,,,,,Поручить,
142,🍬 Сладости,Варенье,Mürəbbə,Клубничное,400 г,🟢,Bizim Tarla Çiyələk Mürəbbəsi 400q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/bizim-tarla-ciyelek-murebbesi-400q-itemid-679747c0c59beb1eed193a76,Bizim Tarla Çiyələk Mürəbbəsi 400qr,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/bizim-tarla-ciyelek-murebbesi-400qr-itemid-5101ca553ca8eced80327729,Bizim Tarla Çiyələk Mürəbbəsi 400 qr,https://wolt.com/ru/aze/baku/venue/market11/bizim-tarla-ciyelek-murebbesi-400-qr-itemid-4df95c5cbe8afe3b1f52dfbe,—,,,,,,—,,,,,,Поручить,"Bal, Cem раздел"
143,🍬 Сладости,Печенье,Peçenye,Сахарное,224 г,🟢,Yubileynoye Ənənəvi Peçenye 224q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/yubileynoye-enenevi-pecenye-224q-itemid-50905d46ead120ae70fe6713,"Yubileynoye Peçenye 224qr
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/yubileynoye-pecenye-224qr-itemid-b37ace764d13783f3e0b50a1,"Yubileynoye Peçenye 224qr
",https://wolt.com/ru/aze/baku/venue/market11/yubileynoye-pecenye-224qr-itemid-ead10d06107d6ce1c1127dbb,—,,,,,,—,,,,,,Поручить,
144,🥤 Напитки,Вода,Su,Без газа,1 л,🔴,"Sirab Qazsız Su 1l
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/sirab-qazsiz-su-1l-itemid-679747c0c59beb1eed194434,Sirab Qazsız Su 1l,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/sirab-qazsiz-su-1l-itemid-95625c57b540792ab7cf83d1,"Sirab Qazsız 1 l
",https://wolt.com/ru/aze/baku/venue/market11/sirab-qazsiz-1-l-itemid-d4f0251374d75a35a6dbe22c,Shollar Su 1.5L,,,,,,—,,,,,,Wolt Market,Sirab + Shollar = 2 крупнейших бренда АЗ
145,🥤 Напитки,Минералка,Mineral su,Газированная,500 мл,🟡,"Sirab Qazlı Su 0.5l
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/sirab-qazli-su-0-5l-itemid-679747c0c59beb1eed194432,"Sirab Qazlı Su 500ml
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/sirab-qazli-su-500ml-itemid-dbe377522ee3f5b5f3382390,"Sirab Qazlı Su 500 ml
",https://wolt.com/ru/aze/baku/venue/market11/sirab-qazli-su-500-ml-itemid-911dc832d2c26fa0948b12ea,—,,,,,,—,,,,,,Wolt Market,
146,🥤 Напитки,Coca-Cola,Coca-Cola,,1 л,🟡,Coca-Cola 1L,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/itemid-679747c0c59beb1eed1945a6,"Coca-cola 1l
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/coca-cola-1l-itemid-a5258e1487a040415bcc7a81,"Coca-Cola 1 l
",https://wolt.com/ru/aze/baku/venue/market11/coca-cola-1-l-itemid-01bf1f42cb0a67f251dc7b13,—,,,,,,—,,,,,,Wolt Market,Глобальный бенчмарк. Цена единая
147,🥤 Напитки,Сок,Şirə,Яблочный,1 л,🟡,Jalə Yaşıl Alma Şirəsi 1l,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/jale-yasil-alma-siresi-1l-itemid-679747c0c59beb1eed1944aa,"Jalə Prizma Alma Şirəsi 1l
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/jale-prizma-alma-siresi-1l-itemid-bb2636889cc3739b9e979974,Jalə Prizma Alma Meyvə Şirəsi 1 L,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/jale-prizma-alma-meyve-siresi-1-l-itemid-2df89ec2e03f4f7c2fdce0f2,Rich Alma 1L,,,,,,—,,,,,,Wolt Market,Jale (AzNAR) — крупнейший производитель
148,🥤 Напитки,Компот,Şərbət,Фабричный,1 л,🟢,—,,,,,,—,,,,,,—,,,,,,Поручить,
149,🥤 Напитки,Пиво местное,Pivə,Xırdalan,500 мл,🟡,"Xırdalan Original şüşə 0.5L
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/itemid-679747c0c59beb1eed193b94,"Xırdalan Pivə Şüşədə 500ml
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/xirdalan-pive-susede-500ml-itemid-0cb1c34e8f14c34e01125fca,"Xırdalan Lager Pivə 500 ml
",https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/xirdalan-lager-pive-500-ml-itemid-d49592975fba67b1f1525007,NZS 0.5L,,,,,,—,,,,,,Wolt Market,Xırdalan + NZS = два главных пивных бренда АЗ
150,🥤 Напитки,Энергетик,Enerji içkisi,,250 мл,🟢,Red Bull 250ml,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/itemid-679747c0c59beb1eed193820,Red Bull Enerji İçkisi 250ml 90162602,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/itemid-7ce7dc1bd4aa32885b21f9bb,"Red Bull Energy Drink 250 ml
",https://wolt.com/ru/aze/baku/venue/market11/red-bull-energy-drink-250-ml-itemid-8587997dc22ece91aa3fbc41,—,,,,,,—,,,,,,Wolt Market,
151,🍼 Детское,Детская смесь,Uşaq qatışığı,0-6 мес,400 г,🔴,Nan 1 Hipoalergen Körpə Südü 400q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/nan-1-hipoalergen-korpe-sudu-400q-itemid-679746c26076986de641dcb0,"Nestle Nan ""Optipro"" 1 Qarışığı (0-6 ) Db 400gr",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/nestle-nan-optipro-1-qarisigi-0-6-db-400gr-itemid-682c185a30c7985368147b93,товар не представлен,,Similac 1 400q,,,,,,—,,,,,,Wolt Market,NAN + Similac = два лидера. Крайне важный товар
152,🍼 Детское,Детское пюре,Uşaq püresi,Фруктовое,90 г,🟡,Aquşa Alma Banan Peçenye Püresi 6ay+ 90q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/aqusa-alma-banan-pecenye-puresi-6ay-90q-itemid-679747c1c59beb1eed195852,"Aquşa Alma, Banan və Kurabiyə Puresi 6+ Aydan 90qr",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/aqusa-alma-banan-ve-kurabiye-puresi-6-aydan-90qr-itemid-51dd223a26bf6548210957c0,,,—,,,,,,—,,,,,,Поручить,Körpələr Üçün раздел
153,🍼 Детское,Подгузники,Uşaq bezi,40 шт,40 шт,🔴,Molfix Uşaq bezi 40əd,,,,,,Huggies 40əd,,,,,,—,,,,,,Wolt Market,Molfix — массовый. Huggies — премиум. Средняя
154,🧹 Хозтовары,Ср-во д/посуды,Qab yuyucu,Fairy,1 л,🟡,"Fairy Qabyuyan Maye Limon 1l
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/fairy-qabyuyan-maye-limon-1l-itemid-8f7dc8574ed32ddf7c38619d,Fairy Qabyuyan Maye Limon Ətirli 1l,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/fairy-qabyuyan-maye-limon-etirli-1l-itemid-53738f87cde5315fa7cff839,Fairy 900 ml Qabyuyan Maye Şirəli Limon,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/fairy-900-ml-qabyuyan-maye-sireli-limon-itemid-22ffc2a6a927c5895c1cf913,—,,,,,,—,,,,,,Wolt Market,Глобальный бенчмарк
155,🧹 Хозтовары,Стир. порошок,Yuyucu toz,Ariel,3 кг,🟡,"Ariel LS Ağ Qızılgül 3kq
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/ariel-ls-ag-qizilgul-3kq-itemid-679747c0c59beb1eed19377a,"Ariel Ağ Paltarlar üçün 3kq
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/ariel-ag-paltarlar-ucun-3kq-itemid-a6c1a2a8bbea5060b4e514d8,Ariel 3kq Yuyucu Toz Automat White,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/ariel-3kq-yuyucu-toz-automat-white-itemid-4621a8d6aa49a5e239b2ebb0,—,,,,,,—,,,,,,Wolt Market,Глобальный бенчмарк
156,🧹 Хозтовары,Туал. бумага,Tualet kağızı,4 рулона,4 шт,🟢,Aura Tualet Kağızı Parfumlu 4 Rulon,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/aura-tualet-kagizi-parfumlu-4-rulon-itemid-679747c0c59beb1eed194224,Aura Tualet Kağızı Perfumed 4əd,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/aura-tualet-kagizi-perfumed-4ed-itemid-335ec6b47efdcf390c0ff768,Aura Tualet Kağızı 3 Qat Ətirli 4lu,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/aura-tualet-kagizi-3-qat-etirli-4lu-itemid-e2e743e7c7de6a307ef3627a,Papia Tualet Kagızı 3 Qat 4 Rulon,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/papia-tualet-kagizi-3-qat-4-rulon-itemid-679747c0c59beb1eed194216,Papia Tualet Kağızı 3 Qat 4əd Secret Garden,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/papia-tualet-kagizi-3-qat-4ed-secret-garden-itemid-d611ec41a76ac3fb789d8079,Papia Tualet Kağızı Sekret 4-lu 3qat,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/papia-tualet-kagizi-sekret-4-lu-3qat-itemid-0b7800d1ea98f6bac0ba0c70,—,,,,,,Поручить,
157,🧹 Хозтовары,Зубная паста,Diş pastası,Colgate,75 мл,🟢,Colgate Max White Purple Reveal Diş Məcunu 75ml,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/colgate-max-white-purple-reveal-dis-mecunu-75ml-itemid-443a126c806c9f8cf3698710,Colgate Diş Məcunu Max White Purple Reveal,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/colgate-dis-mecunu-max-white-purple-reveal-itemid-fefb44b0c5e336fefd96c145,Colgate Maw White Purple Reveal Diş Məcunu 75 ml,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/colgate-maw-white-purple-reveal-dis-mecunu-75-ml-itemid-ee9ae471c74e4b28aec48cc5,—,,,,,,—,,,,,,Wolt Market,
158,🧹 Хозтовары,Шампунь,Şampun,H&S,400 мл,🟢,Head&Shoulders Şampun Sitrus 400ml,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/head-shoulders-sampun-sitrus-400ml-itemid-679747c0c59beb1eed193782,Head&Shoulders Saç üçün Şampun Sitrus Ətirli 400ml,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/head-shoulders-sac-ucun-sampun-sitrus-etirli-400ml-itemid-e18a7da43136c437cd785194,"Head&Shoulders Citrus Fresh Şampun 360 ml
",https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/head-shoulders-citrus-fresh-sampun-360-ml-itemid-625fa2e5a697b360210c4f4a,—,,,,,,—,,,,,,Wolt Market,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ИТОГО: 158 продуктов | 2-3 источника: 33 | 1 источник: 53 | Поручить сотруднику: 72,,,,,,,,,,,,,,,,,,,,,,,,,,
